SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
66_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,1,RZ,7.633,15.133,226.667,0.435,6.54,0.66,0.104,2.014,22.512
68_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,5,RZ,8.2,15.8,182,0.629,7.23,0.22,0.02,0.547,4.136
69_run2_BASS_BESE_RZ,BASS,Managed,BESE,4,RZ,6.267,16.4,47,0.659,7.29,0.03,0.02,0.344,6.627
6_run1_ACP_BARE_BS,ACP,Managed,BARE,1,BS,6.767,16.367,-74.667,0.559,2.209,0.114,0.035,0.58,13.039
70_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.733,14.067,25,0.62,6.17,0.02,0.105,0.201,29.767
71_run2_BASS_BARE_RZ,BASS,Managed,BARE,2,RZ,5.7,15.767,300,0.476,8.83,2.13,0.183,0.371,3.225
72_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.833,12.967,159,0.635,7.07,0.02,0.08,5.615,53.985
73_run1_ACP_BARE_RZ,ACP,Managed,BARE,4,RZ,7.4,17.567,70.667,0.568,2.46,0.089,0.025,0.114,4.045
74_run1_BASS_BESE_RZ,BASS,Managed,BESE,2,RZ,5.567,15.333,285.333,0.551,8.33,0.66,0.06,0.29,4.205
75_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.9,14.7,149.333,0.415,5.79,0.02,0.125,0.234,30.627
76_run1_ACP_BESE_RZ,ACP,Managed,BESE,3,RZ,7.267,15.033,103.667,0.597,2.254,0.065,0.025,0.246,17.079
78_run1_ACP_BESE_RZ,ACP,Managed,BESE,1,RZ,6.867,15.033,-30,0.419,5.66,0.02,0.035,0.513,23.207
79_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,4,RZ,7.567,17.367,226.667,0.303,8.37,0.52,0.045,0.252,0.529
7_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,4,BS,7.633,17.733,73.333,0.449,2.915,0.02,0.03,0.05,1.956
80_run1_BASS_BESE_RZ,BASS,Managed,BESE,3,RZ,6.833,16.433,269.333,0.54,6.26,1.97,0.075,0.201,1.559
81_run1_BASS_BESE_RZ,BASS,Managed,BESE,5,RZ,6.267,16.4,38,0.626,7.32,0.02,0.04,0.467,5.811
82_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,1,RZ,7.033,16.367,237.667,0.405,9.37,0.23,0.254,0.448,1.719
83_run2_BASS_BARE_RZ,BASS,Managed,BARE,3,RZ,6.367,18.6,292.333,0.516,5.63,0.91,0.04,0.126,1.884
84_run1_TRUG_BARE_RZ,TRUG,Managed,BARE,3,RZ,7.2,15.233,223.333,0.373,6.65,0.19,0.02,0.13,0.62
85_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,4,RZ,7.667,16.067,268.333,0.264,4.14,0.28,0.025,0.32,1.856
86_run1_ACP_BESE_RZ,ACP,Managed,BESE,5,RZ,6.933,16.667,144.333,0.597,2.071,0.05,0.025,0.347,8.109
87_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.8,14.6,-65,0.577,4.9,0.28,0.205,0.549,34.925
88_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.933,14.467,113.333,0.58,5.45,0.02,0.119,0.448,43.956
90_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,5.533,12.867,96.333,0.555,6.89,0.02,0.075,1.147,71.204
91_run1_BASS_BARE_RZ,BASS,Managed,BARE,5,RZ,6.233,17.767,59.333,0.63,8.03,0.11,0.025,0.321,9.719
93_run1_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.033,14.433,300,0.594,4.432,0.109,0.06,3.294,19.219
94_run2_ACP_BARE_RZ,ACP,Managed,BARE,1,RZ,6.767,16.367,-74.667,0.559,2.209,0.114,0.035,0.58,13.039
95_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,Natural,RZ,5.6,14.1,-51.333,0.639,6.89,0.05,0.055,0.159,39.506
96_run2_ACP_BARE_RZ,ACP,Managed,BARE,5,RZ,7.1,18.3,130.667,0.569,2.208,0.116,0.025,0.569,3.031
97_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,2,RZ,7.1,16.933,260,0.386,11.57,0.35,0.035,0.134,1.224
98_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,Natural,RZ,6.4,12.417,151.333,0.556,6.36,0.02,0.055,0.74,66.514
99_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,Natural,RZ,6.7,14.3,289.333,0.62,8.61,0.04,0.061,3.091,16.898
9_run1_BASS_BARE_BS,BASS,Managed,BARE,4,BS,6.3,18,384,0.649,7.76,0.02,0.11,0.344,4.412
