Term,Sum Sq,Mean Sq,NumDF,DenDF,F value,Pr(>F),Metric,Data,Dataset,RarefactionDepth,SamplesBefore,SamplesAfter
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,25000,87,78
EcologicalStatus,26214.933707114546,26214.933707114546,1,73.9999999975372,0.8263848722679694,0.36627124269497235,Chao1,Rarefied_25000,ITS,25000,87,78
SoilPortion,7367.995002217384,7367.995002217384,1,73.9999999975372,0.2322645434394516,0.6312721050457241,Chao1,Rarefied_25000,ITS,25000,87,78
EcologicalStatus:SoilPortion,204333.93260968267,204333.93260968267,1,73.9999999975372,6.441308327773398,0.013253580260765988,Chao1,Rarefied_25000,ITS,25000,87,78
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,25000,87,78
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,25000,87,78
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,25000,87,78
EcologicalStatus,1.1595653647198303,1.1595653647198303,1,72.44448053313525,1.7597312277416652,0.18882468959660054,Shannon,Rarefied_25000,ITS,25000,87,78
SoilPortion,1.4201273377934383e-4,1.4201273377934383e-4,1,72.66545936402657,2.155154422268001e-4,0.9883273534711265,Shannon,Rarefied_25000,ITS,25000,87,78
EcologicalStatus:SoilPortion,0.9938830483218493,0.9938830483218493,1,72.66545936865094,1.5082953407095039,0.2233625392521734,Shannon,Rarefied_25000,ITS,25000,87,78
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,30000,87,78
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,30000,87,78
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,30000,87,78
EcologicalStatus,24812.751140877946,24812.751140877946,1,74.00000000027755,0.7944171334359111,0.37565674031274865,Chao1,Rarefied_30000,ITS,30000,87,78
SoilPortion,9103.923460655424,9103.923460655424,1,74.00000000027755,0.29147565046581614,0.5908974708215248,Chao1,Rarefied_30000,ITS,30000,87,78
EcologicalStatus:SoilPortion,206280.0744184609,206280.0744184609,1,74.00000000027755,6.604363396628249,0.012184688788694328,Chao1,Rarefied_30000,ITS,30000,87,78
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,30000,87,78
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,30000,87,78
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,30000,87,78
EcologicalStatus,1.1545337905504227,1.1545337905504227,1,72.4480704913536,1.7412968046597899,0.19112952647402398,Shannon,Rarefied_30000,ITS,30000,87,78
SoilPortion,3.7469594567726884e-5,3.7469594567726884e-5,1,72.6706359919474,5.651258181155082e-5,0.9940225701855662,Shannon,Rarefied_30000,ITS,30000,87,78
EcologicalStatus:SoilPortion,0.9868546282028471,0.9868546282028471,1,72.67063599117255,1.488398888640664,0.22640950211845162,Shannon,Rarefied_30000,ITS,30000,87,78
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,40000,87,74
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,40000,87,74
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,40000,87,74
EcologicalStatus,53949.08822938917,53949.08822938917,1,69.99999999803339,1.6862028115161076,0.19836398347006567,Chao1,Rarefied_40000,ITS,40000,87,74
SoilPortion,3706.085529733747,3706.085529733747,1,69.99999999803335,0.11583535598201088,0.734615290533229,Chao1,Rarefied_40000,ITS,40000,87,74
EcologicalStatus:SoilPortion,289916.9492637222,289916.9492637222,1,69.99999999803325,9.061483539370581,0.003628200730588246,Chao1,Rarefied_40000,ITS,40000,87,74
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,40000,87,74
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,40000,87,74
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,40000,87,74
EcologicalStatus,1.4575126106202914,1.4575126106202914,1,68.28580650301977,2.194196845588715,0.1431312415726849,Shannon,Rarefied_40000,ITS,40000,87,74
SoilPortion,0.009261947887163986,0.009261947887163986,1,68.8076385247455,0.013943300860617165,0.9063469132012373,Shannon,Rarefied_40000,ITS,40000,87,74
EcologicalStatus:SoilPortion,1.6761983613806104,1.6761983613806104,1,68.72892546027265,2.5234149813338873,0.11675753626659072,Shannon,Rarefied_40000,ITS,40000,87,74
EcologicalStatus,75.61595844511088,75.61595844511088,1,82.99999999815344,0.0018588306544275322,0.9657140852878541,Chao1,Raw,ITS,50000,87,65
SoilPortion,4626.911641460941,4626.911641460941,1,82.99999999832598,0.11374113839631299,0.736775828099268,Chao1,Raw,ITS,50000,87,65
EcologicalStatus:SoilPortion,403646.4211672008,403646.4211672008,1,82.99999999815344,9.922645386558242,0.0022701749958590066,Chao1,Raw,ITS,50000,87,65
EcologicalStatus,167519.8351259914,167519.8351259914,1,60.9999999992387,5.6199219512612455,0.020933041974711207,Chao1,Rarefied_50000,ITS,50000,87,65
SoilPortion,238.98017818282736,238.98017818282736,1,61.00000000010182,0.008017259259334213,0.9289467853495512,Chao1,Rarefied_50000,ITS,50000,87,65
EcologicalStatus:SoilPortion,294377.6814263871,294377.6814263871,1,60.99999999923873,9.875723627385895,0.002584877094767328,Chao1,Rarefied_50000,ITS,50000,87,65
EcologicalStatus,0.13759600549310524,0.13759600549310524,1,81.35923730870103,0.1963216912395365,0.6588823210607797,Shannon,Raw,ITS,50000,87,65
SoilPortion,0.3955867302156857,0.3955867302156857,1,81.59323854277083,0.5644223146561709,0.45464535189288746,Shannon,Raw,ITS,50000,87,65
EcologicalStatus:SoilPortion,2.7413742571751927,2.7413742571751927,1,81.59323854094808,3.911387024357549,0.05133592591919073,Shannon,Raw,ITS,50000,87,65
EcologicalStatus,1.4603999523554223,1.4603999523554223,1,59.52876842798647,2.019428223807565,0.16051505045718567,Shannon,Rarefied_50000,ITS,50000,87,65
SoilPortion,0.002527350785981976,0.002527350785981976,1,59.5287684315535,0.0034947984628748503,0.9530570709355746,Shannon,Rarefied_50000,ITS,50000,87,65
EcologicalStatus:SoilPortion,1.4103940423796428,1.4103940423796428,1,59.6039135035946,1.9502804908188056,0.1677355926542047,Shannon,Rarefied_50000,ITS,50000,87,65
