SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
17_run2_TRUG_BESE_BS,TRUG,Managed,BESE,4,BS,7.67,16.07,268.33,0.26,4.14,0.28,0.03,0.32,1.86
18_run1_ACP_BESE_BS,ACP,Managed,BESE,2,BS,7.33,14.70,110.33,0.41,7.89,0.18,0.05,3.25,13.12
1_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,5,BS,6.33,17.57,76.00,0.62,8.44,0.18,0.14,0.39,13.32
21_run1_ACP_NAT_BS,ACP,Natural,NATURAL,N1,BS,6.70,13.77,284.00,0.60,6.45,0.04,0.03,2.25,18.05
25_run1_BASS_BESE_BS,BASS,Managed,BESE,2,BS,5.57,15.33,285.33,0.55,8.33,0.66,0.06,0.29,4.21
26_run2_TRUG_BARE_BS,TRUG,Managed,BARE,4,BS,7.57,17.37,226.67,0.30,8.37,0.52,0.05,0.25,0.53
27_run1_ACP_BARE_BS,ACP,Managed,BARE,5,BS,7.10,18.30,130.67,0.57,2.21,0.12,0.03,0.57,3.03
28_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,N4,BS,5.63,12.83,111.33,0.63,6.90,0.02,0.05,1.47,52.58
29_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,N1,BS,6.40,12.42,151.33,0.56,6.36,0.02,0.06,0.74,66.51
2_run1_BASS_BESE_BS,BASS,Managed,BESE,4,BS,6.27,16.40,47.00,0.66,7.29,0.03,0.02,0.34,6.63
30_run2_ACP_NAT_BS,ACP,Natural,NATURAL,N2,BS,5.80,13.63,319.67,0.60,6.68,0.02,0.03,1.14,22.70
31_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,1,BS,6.37,16.43,267.00,0.49,7.71,2.78,0.04,0.16,2.57
32_run2_BASS_NAT_BS,BASS,Natural,NATURAL,N3,BS,5.80,14.60,-65.00,0.58,4.90,0.28,0.21,0.55,34.93
33_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,2,BS,5.90,18.10,307.00,0.54,9.27,3.64,0.06,0.06,2.50
34_run2_ACP_NAT_BS,ACP,Natural,NATURAL,N3,BS,6.40,14.00,294.33,0.48,5.32,0.04,0.03,0.63,22.58
35_run1_BASS_BARE_BS,BASS,Managed,BARE,3,BS,6.37,18.60,292.33,0.52,5.63,0.91,0.04,0.13,1.88
36_run1_BASS_BARE_BS,BASS,Managed,BARE,2,BS,5.70,15.77,300.00,0.48,8.83,2.13,0.18,0.37,3.23
37_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,3,BS,5.33,19.47,283.67,0.54,8.48,0.53,0.08,0.15,2.53
38_run1_ACP_DEG_BS,ACP,Managed,DEGRADED,3,BS,6.67,17.63,30.33,0.55,3.25,0.28,0.10,0.10,1.27
39_run2_BASS_NAT_BS,BASS,Natural,NATURAL,N1,BS,5.93,14.47,113.33,0.58,5.45,0.02,0.12,0.45,43.96
3_run2_ACP_BARE_BS,ACP,Managed,BARE,4,BS,7.40,17.57,70.67,0.57,2.46,0.09,0.03,0.11,4.05
40_run1_BASS_BARE_BS,BASS,Managed,BARE,5,BS,6.23,17.77,59.33,0.63,8.03,0.11,0.03,0.32,9.72
41_run2_BASS_BESE_BS,BASS,Managed,BESE,1,BS,6.30,14.53,265.33,0.42,6.53,1.34,0.13,0.25,4.20
42_run2_BASS_BESE_BS,BASS,Managed,BESE,5,BS,6.27,16.40,38.00,0.63,7.32,0.02,0.04,0.47,5.81
43_run2_BASS_NAT_BS,BASS,Natural,NATURAL,N2,BS,5.73,14.07,25.00,0.62,6.17,0.02,0.11,0.20,29.77
45_run2_BASS_NAT_BS,BASS,Natural,NATURAL,N5,BS,5.60,14.10,-51.33,0.64,6.89,0.05,0.06,0.16,39.51
47_run2_ACP_BESE_BS,ACP,Managed,BESE,1,BS,6.87,15.03,-30.00,0.42,5.66,0.02,0.04,0.51,23.21
4_run2_BASS_NAT_BS,BASS,Natural,NATURAL,N4,BS,5.90,14.70,149.33,0.42,5.79,0.02,0.13,0.23,30.63
50_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,N3,BS,5.97,12.70,97.33,0.62,7.17,0.02,0.08,1.25,41.50
51_run1_BASS_BARE_BS,BASS,Managed,BARE,1,BS,6.03,15.67,256.00,0.42,7.49,1.23,0.15,1.10,2.03
52_run1_TRUG_BESE_BS,TRUG,Managed,BESE,5,BS,8.20,15.80,182.00,0.63,7.23,0.22,0.02,0.55,4.14
54_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,N2,BS,5.83,12.97,159.00,0.64,7.07,0.02,0.08,5.62,53.99
55_run2_TRUG_NAT_BS,TRUG,Natural,NATURAL,N5,BS,5.53,12.87,96.33,0.56,6.89,0.02,0.08,1.15,71.20
56_run2_ACP_NAT_BS,ACP,Natural,NATURAL,N4,BS,6.70,14.30,289.33,0.62,8.61,0.04,0.06,3.09,16.90
57_run2_TRUG_BESE_BS,TRUG,Managed,BESE,1,BS,7.63,15.13,226.67,0.44,6.54,0.66,0.10,2.01,22.51
59_run1_TRUG_DEG_BS,TRUG,Managed,DEGRADED,1,BS,7.07,16.77,214.00,0.37,6.31,0.46,0.04,0.40,1.68
5_run1_BASS_DEG_BS,BASS,Managed,DEGRADED,4,BS,6.13,18.33,58.00,0.55,7.15,0.02,0.03,0.62,5.05
63_run2_BASS_BARE_RZ,BASS,Managed,BARE,1,RZ,6.03,15.67,256.00,0.42,7.49,1.23,0.15,1.10,2.03
64_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,3,RZ,7.47,15.07,239.00,0.38,4.28,0.36,0.02,0.32,1.95
66_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,1,RZ,7.63,15.13,226.67,0.44,6.54,0.66,0.10,2.01,22.51
68_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,5,RZ,8.20,15.80,182.00,0.63,7.23,0.22,0.02,0.55,4.14
69_run2_BASS_BESE_RZ,BASS,Managed,BESE,4,RZ,6.27,16.40,47.00,0.66,7.29,0.03,0.02,0.34,6.63
6_run1_ACP_BARE_BS,ACP,Managed,BARE,1,BS,6.77,16.37,-74.67,0.56,2.21,0.11,0.04,0.58,13.04
70_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,N2,RZ,5.73,14.07,25.00,0.62,6.17,0.02,0.11,0.20,29.77
71_run2_BASS_BARE_RZ,BASS,Managed,BARE,2,RZ,5.70,15.77,300.00,0.48,8.83,2.13,0.18,0.37,3.23
72_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N2,RZ,5.83,12.97,159.00,0.64,7.07,0.02,0.08,5.62,53.99
73_run1_ACP_BARE_RZ,ACP,Managed,BARE,4,RZ,7.40,17.57,70.67,0.57,2.46,0.09,0.03,0.11,4.05
74_run1_BASS_BESE_RZ,BASS,Managed,BESE,2,RZ,5.57,15.33,285.33,0.55,8.33,0.66,0.06,0.29,4.21
75_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,N4,RZ,5.90,14.70,149.33,0.42,5.79,0.02,0.13,0.23,30.63
76_run1_ACP_BESE_RZ,ACP,Managed,BESE,3,RZ,7.27,15.03,103.67,0.60,2.25,0.07,0.03,0.25,17.08
78_run1_ACP_BESE_RZ,ACP,Managed,BESE,1,RZ,6.87,15.03,-30.00,0.42,5.66,0.02,0.04,0.51,23.21
79_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,4,RZ,7.57,17.37,226.67,0.30,8.37,0.52,0.05,0.25,0.53
7_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,4,BS,7.63,17.73,73.33,0.45,2.92,0.02,0.03,0.05,1.96
80_run1_BASS_BESE_RZ,BASS,Managed,BESE,3,RZ,6.83,16.43,269.33,0.54,6.26,1.97,0.08,0.20,1.56
81_run1_BASS_BESE_RZ,BASS,Managed,BESE,5,RZ,6.27,16.40,38.00,0.63,7.32,0.02,0.04,0.47,5.81
82_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,1,RZ,7.03,16.37,237.67,0.41,9.37,0.23,0.25,0.45,1.72
83_run2_BASS_BARE_RZ,BASS,Managed,BARE,3,RZ,6.37,18.60,292.33,0.52,5.63,0.91,0.04,0.13,1.88
84_run1_TRUG_BARE_RZ,TRUG,Managed,BARE,3,RZ,7.20,15.23,223.33,0.37,6.65,0.19,0.02,0.13,0.62
85_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,4,RZ,7.67,16.07,268.33,0.26,4.14,0.28,0.03,0.32,1.86
86_run1_ACP_BESE_RZ,ACP,Managed,BESE,5,RZ,6.93,16.67,144.33,0.60,2.07,0.05,0.03,0.35,8.11
87_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,N3,RZ,5.80,14.60,-65.00,0.58,4.90,0.28,0.21,0.55,34.93
88_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,N1,RZ,5.93,14.47,113.33,0.58,5.45,0.02,0.12,0.45,43.96
90_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N5,RZ,5.53,12.87,96.33,0.56,6.89,0.02,0.08,1.15,71.20
91_run1_BASS_BARE_RZ,BASS,Managed,BARE,5,RZ,6.23,17.77,59.33,0.63,8.03,0.11,0.03,0.32,9.72
93_run1_ACP_NAT_RZ,ACP,Natural,NATURAL,N5,RZ,6.03,14.43,300.00,0.59,4.43,0.11,0.06,3.29,19.22
94_run2_ACP_BARE_RZ,ACP,Managed,BARE,1,RZ,6.77,16.37,-74.67,0.56,2.21,0.11,0.04,0.58,13.04
95_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,N5,RZ,5.60,14.10,-51.33,0.64,6.89,0.05,0.06,0.16,39.51
96_run2_ACP_BARE_RZ,ACP,Managed,BARE,5,RZ,7.10,18.30,130.67,0.57,2.21,0.12,0.03,0.57,3.03
97_run2_TRUG_BARE_RZ,TRUG,Managed,BARE,2,RZ,7.10,16.93,260.00,0.39,11.57,0.35,0.04,0.13,1.22
98_run2_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N1,RZ,6.40,12.42,151.33,0.56,6.36,0.02,0.06,0.74,66.51
99_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N4,RZ,6.70,14.30,289.33,0.62,8.61,0.04,0.06,3.09,16.90
9_run1_BASS_BARE_BS,BASS,Managed,BARE,4,BS,6.30,18.00,384.00,0.65,7.76,0.02,0.11,0.34,4.41
