SampleID,Site,EcologicalStatus,Treatment,Block,SoilPortion,pH_avg,Temperature_avg,Redox_avg,Moisture_avg,Salinity,NO3,NO2,PO4,NH4
89_run2_ACP_BESE_RZ,ACP,Managed,BESE,2,RZ,7.33,14.7,110.333,0.408,7.89,0.18,0.045,3.253,13.118
86_run2_ACP_BESE_RZ,ACP,Managed,BESE,5,RZ,6.93,16.667,144.333,0.597,2.07,0.05,0.025,0.347,8.109
85_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,4,RZ,7.67,16.067,268.333,0.264,4.14,0.28,0.025,0.32,1.856
81_run2_BASS_BESE_RZ,BASS,Managed,BESE,5,RZ,6.27,16.4,38,0.626,7.32,0.02,0.04,0.467,5.811
80_run2_BASS_BESE_RZ,BASS,Managed,BESE,3,RZ,6.83,16.433,269.333,0.54,6.26,1.97,0.075,0.201,1.559
78_run2_ACP_BESE_RZ,ACP,Managed,BESE,1,RZ,6.87,15.033,-30,0.419,5.66,0.02,0.035,0.513,23.207
77_run2_BASS_BESE_RZ,BASS,Managed,BESE,1,RZ,6.3,14.533,265.333,0.422,6.53,1.34,0.134,0.253,4.196
76_run2_ACP_BESE_RZ,ACP,Managed,BESE,3,RZ,7.27,15.033,103.667,0.597,2.25,0.07,0.025,0.246,17.079
74_run2_BASS_BESE_RZ,BASS,Managed,BESE,2,RZ,5.57,15.333,285.333,0.551,8.33,0.66,0.06,0.29,4.205
69_run2_BASS_BESE_RZ,BASS,Managed,BESE,4,RZ,6.3,18,384,0.649,7.76,0.02,0.11,0.344,4.412
68_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,5,RZ,8.2,15.8,182,0.629,7.23,0.22,0.02,0.547,4.136
67_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,2,RZ,7.2,16.467,242.333,0.341,7.65,0.35,0.02,0.07,1.307
66_run1_TRUG_BESE_RZ,TRUG,Managed,BESE,1,RZ,7.63,15.133,226.667,0.435,6.54,0.66,0.104,2.014,22.512
64_run2_TRUG_BESE_RZ,TRUG,Managed,BESE,3,RZ,7.47,15.067,239,0.38,4.28,0.36,0.02,0.323,1.951
57_run2_TRUG_BESE_BS,TRUG,Managed,BESE,1,BS,7.63,15.133,226.667,0.435,6.54,0.66,0.104,2.014,22.512
52_run2_TRUG_BESE_BS,TRUG,Managed,BESE,5,BS,8.2,15.8,182,0.629,7.23,0.22,0.02,0.547,4.136
49_run2_TRUG_BESE_BS,TRUG,Managed,BESE,3,BS,7.47,15.067,239,0.38,4.28,0.36,0.02,0.323,1.951
47_run2_ACP_BESE_BS,ACP,Managed,BESE,1,BS,6.87,15.033,-30,0.419,5.66,0.02,0.035,0.513,23.207
42_run2_BASS_BESE_BS,BASS,Managed,BESE,5,BS,6.27,16.4,38,0.626,7.32,0.02,0.04,0.467,5.811
41_run2_BASS_BESE_BS,BASS,Managed,BESE,1,BS,6.3,14.533,265.333,0.422,6.53,1.34,0.134,0.253,4.196
25_run2_BASS_BESE_BS,BASS,Managed,BESE,2,BS,5.57,15.333,285.333,0.551,8.33,0.66,0.06,0.29,4.205
23_run2_TRUG_BESE_BS,TRUG,Managed,BESE,2,BS,7.2,16.467,242.333,0.341,7.65,0.35,0.02,0.07,1.307
2_run2_BASS_BESE_BS,BASS,Managed,BESE,4,BS,6.27,16.4,47,0.659,7.29,0.03,0.02,0.344,6.627
18_run2_ACP_BESE_BS,ACP,Managed,BESE,2,BS,7.33,14.7,110.333,0.408,7.89,0.18,0.045,3.253,13.118
17_run2_TRUG_BESE_BS,TRUG,Managed,BESE,4,BS,7.67,16.067,268.333,0.264,4.14,0.28,0.025,0.32,1.856
16_run2_BASS_BESE_BS,BASS,Managed,BESE,3,BS,6.83,16.433,269.333,0.54,6.26,1.97,0.075,0.201,1.559
15_run2_ACP_BESE_BS,ACP,Managed,BESE,3,BS,7.27,15.033,103.667,0.597,2.25,0.07,0.025,0.246,17.079
13_run2_ACP_BESE_BS,ACP,Managed,BESE,5,BS,6.93,16.667,144.333,0.597,2.07,0.05,0.025,0.347,8.109
11_run2_ACP_BESE_BS,ACP,Managed,BESE,4,BS,6.97,15.767,111.333,0.521,2.2,0.03,0.025,0.906,23.849
106_run2_ACP_BESE_RZ,ACP,Managed,BESE,4,RZ,6.97,15.767,111.333,0.521,2.2,0.03,0.025,0.906,23.849
7_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,4,BS,7.63,17.733,73.333,0.449,2.91,0.02,0.03,0.05,1.956
59_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,1,BS,7.07,16.767,214,0.374,6.31,0.46,0.035,0.399,1.681
53_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,2,BS,7,17.767,47.667,0.563,2.45,0.06,0.025,0.099,2.156
5_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,4,BS,6.13,18.333,58,0.55,7.15,0.02,0.025,0.619,5.051
46_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,3,BS,7.67,15.5,191,0.344,4.45,0.24,0.03,0.124,0.793
44_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,5,BS,7.97,16.667,236,0.324,7.39,0.25,0.045,0.6,1.626
38_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,3,BS,6.67,17.633,30.333,0.548,3.25,0.28,0.1,0.095,1.267
37_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,3,BS,5.33,19.467,283.667,0.535,8.48,0.53,0.08,0.154,2.533
33_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,2,BS,5.9,18.1,307,0.538,9.27,3.64,0.055,0.06,2.496
31_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,1,BS,6.37,16.433,267,0.494,7.71,2.78,0.04,0.164,2.57
24_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,1,BS,6.57,16.733,92.333,0.489,2.77,0.04,0.025,0.153,6.367
19_run2_TRUG_DEG_BS,TRUG,Managed,DEGRADED,4,BS,7.6,17.333,126,0.258,9.77,0.14,0.02,0.366,0.211
12_run2_ACP_DEG_BS,ACP,Managed,DEGRADED,5,BS,7.33,18.3,53.333,0.582,2.85,0.02,0.04,0.121,1.488
1_run2_BASS_DEG_BS,BASS,Managed,DEGRADED,5,BS,6.33,17.567,76,0.617,8.44,0.18,0.139,0.387,13.322
100_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N4,RZ,5.63,12.833,111.333,0.629,6.9,0.02,0.045,1.473,52.584
99_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N4,RZ,6.7,14.3,289.333,0.62,8.61,0.04,0.061,3.091,16.898
98_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N1,RZ,6.4,12.417,151.333,0.556,6.36,0.02,0.055,0.74,66.514
95_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,N5,RZ,5.6,14.1,-51.333,0.639,6.89,0.05,0.055,0.159,39.506
93_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N5,RZ,6.03,14.433,300,0.594,4.43,0.11,0.06,3.294,19.219
90_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N5,RZ,5.53,12.867,96.333,0.555,6.89,0.02,0.075,1.147,71.204
88_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,N1,RZ,5.93,14.467,113.333,0.58,5.45,0.02,0.119,0.448,43.956
87_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,N3,RZ,5.8,14.6,-65,0.577,4.9,0.28,0.205,0.549,34.925
75_run2_BASS_NAT_RZ,BASS,Natural,NATURAL,N4,RZ,5.9,14.7,149.333,0.415,5.79,0.02,0.125,0.234,30.627
72_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N2,RZ,5.83,12.967,159,0.635,7.07,0.02,0.08,5.615,53.985
70_run1_BASS_NAT_RZ,BASS,Natural,NATURAL,N2,RZ,5.73,14.067,25,0.62,6.17,0.02,0.105,0.201,29.767
56_run1_ACP_NAT_BS,ACP,Natural,NATURAL,N4,BS,6.7,14.3,289.333,0.62,8.61,0.04,0.061,3.091,16.898
55_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,N5,BS,5.53,12.867,96.333,0.555,6.89,0.02,0.075,1.147,71.204
54_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,N2,BS,5.83,12.967,159,0.635,7.07,0.02,0.08,5.615,53.985
50_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,N3,BS,5.97,12.7,97.333,0.616,7.17,0.02,0.075,1.245,41.497
45_run1_BASS_NAT_BS,BASS,Natural,NATURAL,N5,BS,5.6,14.1,-51.333,0.639,6.89,0.05,0.055,0.159,39.506
43_run1_BASS_NAT_BS,BASS,Natural,NATURAL,N2,BS,5.73,14.067,25,0.62,6.17,0.02,0.105,0.201,29.767
39_run1_BASS_NAT_BS,BASS,Natural,NATURAL,N1,BS,5.93,14.467,113.333,0.58,5.45,0.02,0.119,0.448,43.956
34_run1_ACP_NAT_BS,ACP,Natural,NATURAL,N3,BS,6.4,14,294.333,0.476,5.32,0.04,0.025,0.627,22.577
32_run1_BASS_NAT_BS,BASS,Natural,NATURAL,N3,BS,5.8,14.6,-65,0.577,4.9,0.28,0.205,0.549,34.925
30_run1_ACP_NAT_BS,ACP,Natural,NATURAL,N2,BS,5.8,13.633,319.667,0.597,6.68,0.02,0.025,1.142,22.704
29_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,N1,BS,6.4,12.417,151.333,0.556,6.36,0.02,0.055,0.74,66.514
28_run1_TRUG_NAT_BS,TRUG,Natural,NATURAL,N4,BS,5.63,12.833,111.333,0.629,6.9,0.02,0.045,1.473,52.584
21_run2_ACP_NAT_BS,ACP,Natural,NATURAL,N1,BS,6.7,13.767,284,0.6,6.45,0.03,0.025,2.249,18.049
14_run2_ACP_NAT_BS,ACP,Natural,NATURAL,N5,BS,6.03,14.433,300,0.594,4.43,0.11,0.06,3.294,19.219
108_run1_TRUG_NAT_RZ,TRUG,Natural,NATURAL,N3,RZ,5.97,12.7,97.333,0.616,7.17,0.02,0.075,1.245,41.497
107_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N1,RZ,6.7,13.767,284,0.6,6.45,0.03,0.025,2.249,18.049
105_run2_ACP_NAT_RZ,ACP,Natural,NATURAL,N2,RZ,5.8,13.633,319.667,0.597,6.68,0.02,0.025,1.142,22.704
104_run1_ACP_NAT_RZ,ACP,Natural,NATURAL,N3,RZ,6.4,14,294.333,0.476,5.32,0.04,0.025,0.627,22.577
